,GraduationCohortYear,GraduationRateType,GraduationRate
0,2016,5-Year Rate,90.55312499999998
1,2017,4-Year Rate,88.58437500000001
2,2017,5-Year Rate,88.64848484848487
3,2018,4-Year Rate,88.57575757575758
4,2018,5-Year Rate,90.86969696969699
5,2019,4-Year Rate,89.72352941176473
6,2017,5-Year Rate,88.64848484848487
7,2018,4-Year Rate,88.57575757575758
8,2018,5-Year Rate,90.86969696969699
9,2019,4-Year Rate,89.72352941176473
10,2019,5-Year Rate,91.71764705882353
11,2020,4-Year Rate,90.44411764705883
12,2016,4-Year Rate,86.355556
